1,0,17068250,533382.0,1,0,0,1,0,1
2,250,17068500,533390.0,1,0,0,1,0,1
3,500,17068750,533398.0,1,0,0,1,0,1
4,750,17069000,533406.0,1,0,0,1,0,1
5,1000,17069250,533414.0,1,0,0,1,0,1
6,1250,17069500,533421.0,1,0,0,1,0,1
7,1500,17069750,533429.0,1,0,0,1,0,1
8,1750,17070000,533437.0,0,0,0,1,0,1
9,2000,17070250,533445.0,0,0,0,1,0,1
10,2250,17070500,533453.0,0,0,0,1,0,1
11,2500,17070750,533460.0,0,0,0,1,0,1
12,2750,17071000,533468.0,0,0,0,1,0,1
13,3000,17071250,533476.0,0,0,0,1,0,1
14,3250,17071500,533484.0,0,0,0,1,0,1
15,3500,17071750,533492.0,0,0,0,1,0,1
16,3750,17072000,533500.0,0,0,0,1,0,1
17,4000,17072250,533507.0,0,0,0,1,0,1
18,4250,17072500,533515.0,0,0,0,1,0,1
19,4500,17072750,533523.0,0,0,0,1,0,1
20,4750,17073000,533531.0,0,0,0,1,0,1
21,5000,17073250,533539.0,0,0,0,1,0,1
22,5250,17073500,533546.0,0,0,0,1,0,1
23,5500,17073750,533554.0,0,0,0,1,0,1
24,5750,17074000,533562.0,0,0,0,1,0,1
25,6000,17074250,533570.0,0,0,0,1,0,1
26,6250,17074500,533578.0,0,0,0,1,0,1
27,6500,17074750,533585.0,0,0,0,1,0,1
28,6750,17075000,533593.0,0,0,0,1,0,1
29,7000,17075250,533601.0,0,0,0,1,0,1
30,7250,17075500,533609.0,0,0,0,1,0,1
31,7500,17075750,533617.0,0,0,0,1,0,1
32,7750,17076000,533625.0,0,0,0,1,0,1
33,8000,17076250,533632.0,0,0,0,1,0,1
34,8250,17076500,533640.0,0,0,0,1,0,1
35,8500,17076750,533648.0,0,0,0,1,0,1
36,8750,17077000,533656.0,0,0,0,1,0,1
37,9000,17077250,533664.0,0,0,0,1,0,1
38,9250,17077500,533671.0,0,0,0,1,0,1
39,9500,17077750,533679.0,0,0,0,1,0,1
40,9750,17078000,533687.0,0,0,0,1,0,1
41,10000,17078250,533695.0,0,0,0,1,0,1
